,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
0,1035,rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,$,USD,https://www.purpicks.com/wp-content/uploads/2018/06/Rejuva-Minerals-Multi-Purpose-Powder-Blush-_-Eye-1.jpg,https://www.purpicks.com/product/rejuva-minerals-multi-purpose-powder-blush-eye/,https://purpicks.com/,"Our Multi Purpose Pressed Powders may be used for blush or eye shadow. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. Made without any gluten containing ingredients. Mica free Pink Parfait and Papaya will offer a natural, ultra sheer semi-matte finish. The petals from beautiful crushed red roses that are found in Pink Parfait, are valued for their natural color and delightful aroma that they provide! Acai Berry will offer a natural, ultra sheer satin finish (mica added). VEGAN. Image one is Pink Parfait. Image two is Papaya, and image three is Acai Berry. Model in image four is wearing Papaya. Model in image five is wearing Acai Berry. To see a demonstration of Papaya, click on the video and fast forward to 3:44. Enjoy! This product is EWG VERIFIED&#x2122; and rated 'CLEAN'in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable. *Tiny flecks of fruit and botanical particles may be visible in powder. Pink Parfait and Papaya are Titanium Dioxide and Mica free. Net Weight: 2.8 gm.",,powder,blush,"['purpicks', 'EWG Verified', 'Hypoallergenic', 'No Talc']",2018-06-30T19:19:31.909Z,2018-09-02T22:52:06.855Z,http://makeup-api.herokuapp.com/api/v1/products/1035.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/035/original/open-uri20180630-4-n6wb0y?1530390383,"[{'hex_value': '#E1BFC0', 'colour_name': 'Pink Parfait'}, {'hex_value': '#D7A7A3', 'colour_name': 'Papaya'}, {'hex_value': '#E6C3CB', 'colour_name': 'Acai Berry'}]"
1,1026,marienatie,Mineral Blush,0.0,$,USD,https://www.purpicks.com/wp-content/uploads/csm/Blush_copy_1024x1024_edd99d6d-301e-4ba1-aa74-a33d21147b7c1.jpg,https://www.purpicks.com/product/marie-natie-mineral-blush/,https://purpicks.com/,Formulated to reduce the appearance of pores while creating a long-lasting natural finish.  This MarieNatie brush protects skin with SPF15.  Sericite mica is great for absorbing oil and won’t clog up pores.  Mica is a natural mineral that helps to enhance the skin tone.,,powder,blush,"['purpicks', 'CertClean']",2018-06-30T19:19:31.234Z,2018-09-02T22:52:06.590Z,http://makeup-api.herokuapp.com/api/v1/products/1026.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/026/original/open-uri20180630-4-18e9ua7?1530390377,"[{'hex_value': '#C97D66', 'colour_name': 'Blushing Apple'}, {'hex_value': '#DF9A84', 'colour_name': 'Desert Rose'}]"
2,1017,lotus cosmetics usa,Creme to Powder Blush,0.0,$,USD,https://www.purpicks.com/wp-content/uploads/2018/03/lotus-cosmetics-usa-creme-to-powder-blush.png,https://www.purpicks.com/product/lotus-cosmetics-usa-creme-powder-blush/,https://purpicks.com/,"A cream to powder blush made with all natural ingredients that applies like a soft cream but finishes like a silky powder. Antioxidant-rich botanicals help moisturize the skin, while natural pigments provide long-lasting buildable color for a healthy, radiant glow. Made with natural and organic ingredients.",,cream,blush,"['purpicks', 'USDA Organic', 'Organic']",2018-06-30T19:19:30.678Z,2018-09-02T22:52:06.437Z,http://makeup-api.herokuapp.com/api/v1/products/1017.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/017/original/open-uri20180630-4-1r5paz3?1530390370,"[{'hex_value': '#C7766F', 'colour_name': 'Plum'}, {'hex_value': '#DF925C', 'colour_name': 'Apricot'}, {'hex_value': '#E89B7C', 'colour_name': 'Rose'}]"
3,1003,glossier,Cloud Paint,22.0,$,USD,https://static-assets.glossier.com/production/spree/images/attachments/000/001/241/portrait_normal/CP_PDP_02.jpg?1488382023,https://www.glossier.com/products/cloud-paint,https://www.glossier.com,"With Cloud Paint, we set out to make blush the high point of your routine. The pillowy, gel-cream formula is designed to be the most user-friendly cheek color in existence. If you can finger paint, you can Cloud Paint—simply dab it onto cheeks wherever you please. It’s seamless, sheer, and buildable (i.e. it’s hard to accidentally apply too much). Inspired by gradient pink NYC sunsets, the shades are optimized to work across a wide range of skin tones for a healthy, flushed-from-within glow.",,cream,blush,[],2017-12-27T03:04:32.907Z,2017-12-27T03:05:09.354Z,http://makeup-api.herokuapp.com/api/v1/products/1003.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/003/original/open-uri20171227-4-13ivnwv?1514343870,"[{'hex_value': '#C78B7C', 'colour_name': 'Dusk'}, {'hex_value': '#F3D1E0', 'colour_name': 'Puff'}, {'hex_value': '#F1BB9E', 'colour_name': 'Beam'}, {'hex_value': '#B65F79', 'colour_name': 'Haze'}]"
4,924,nyx,Sweet Cheeks Blush Palette,20.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwa0a9cf48/ProductImages/2016/Face/Sweet_Cheeks_Blush_Palette/sweetcheeksblushpalette_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/sweet-cheeks-blush-palette/NYX_359.html?cgid=blush,https://www.nyxcosmetics.com,"Get swept away by our drop-dead gorgeous Sweet Cheeks Blush Palette. This collection features eight highly pigmented and buttery-smooth colors that flawlessly suit any skin tone. Perfect for everyone from the pro on the go to the budding beauty guru, our irreplaceable set brings together a variety of exclusive shades in both matte and shimmery finishes. It’s true--we’ve got a serious blush crush!",,,blush,[],2017-12-24T02:28:47.814Z,2017-12-24T02:30:48.645Z,http://makeup-api.herokuapp.com/api/v1/products/924.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/924/original/open-uri20171224-4-7p4zdp?1514082648,[]
5,923,nyx,Cheek Contour Duo Palette,9.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwb9e0511a/ProductImages/2016/Face/Cheek_Contour_Duo_Palette/800897012007_cheekcontourduopalette_doubledate_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/cheek-contour-duo-palette/NYX_309.html?cgid=blush,https://www.nyxcosmetics.com,"Create natural-looking contours, sun-kissed cheeks and a gorgeous, lit-from-within glow with our new Cheek Contour Duos. Available in six silky shade combinations, each luxurious compact makes it easy to perfect your complexion on the go.",,,blush,[],2017-12-24T02:28:46.474Z,2017-12-24T02:30:46.419Z,http://makeup-api.herokuapp.com/api/v1/products/923.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/923/original/open-uri20171224-4-13zuxu4?1514082646,"[{'hex_value': '#8F4D3D', 'colour_name': 'Perfect Match'}, {'hex_value': '#A45340', 'colour_name': 'Two To Tango'}, {'hex_value': '#6D3D3B', 'colour_name': 'Ginger & Pepper'}, {'hex_value': '#6B4530', 'colour_name': 'Wine & Dine'}, {'hex_value': '#7A4C32', 'colour_name': 'Cheek On Cheek'}]"
6,922,nyx,High Definition Blush Pro Refills,6.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,https://www.nyxcosmetics.com,,,,blush,[],2017-12-24T02:28:44.070Z,2017-12-24T02:30:42.574Z,http://makeup-api.herokuapp.com/api/v1/products/922.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,"[{'hex_value': '#FACFD0', 'colour_name': 'Pastel Chic'}, {'hex_value': '#F4A38D', 'colour_name': 'Soft Spoken'}, {'hex_value': '#F38D9B', 'colour_name': 'Baby Doll'}, {'hex_value': '#F5948E', 'colour_name': 'Hamptons'}, {'hex_value': '#E58581', 'colour_name': 'Intuition'}, {'hex_value': '#F34395', 'colour_name': 'Electro'}, {'hex_value': '#F58F83', 'colour_name': 'Amber'}, {'hex_value': '#D6826B', 'colour_name': 'Bronzed'}, {'hex_value': '#E68B84', 'colour_name': ""Mauve N' Out""}, {'hex_value': '#CB7A79', 'colour_name': 'Deep Plum'}, {'hex_value': '#DC7675', 'colour_name': 'Bitten'}, {'hex_value': '#EA3034', 'colour_name': 'Crimson'}, {'hex_value': '#E34A57', 'colour_name': 'Tuscan'}, {'hex_value': '#EB6C63', 'colour_name': 'Summer'}, {'hex_value': '#FA694B', 'colour_name': 'Double Dare'}, {'hex_value': '#F49178', 'colour_name': 'Coraline'}, {'hex_value': '#F99282', 'colour_name': 'Pink The Town'}, {'hex_value': '#E28F81', 'colour_name': 'Rose Gold'}, {'hex_value': '#F49877', 'colour_name': 'Down To Earth'}, {'hex_value': '#F08F75', 'colour_name': 'Bright Lights'}, {'hex_value': '#D5967B', 'colour_name': ""Nude'Tude""}, {'hex_value': '#CC8774', 'colour_name': 'Glow'}, {'hex_value': '#CB896E', 'colour_name': 'Beach Babe'}, {'hex_value': '#BC9178', 'colour_name': 'Taupe'}]"
7,920,nyx,Rouge Cream Blush,6.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw91979480/ProductImages/Face/Rouge_Cream_Blush/rougecreamblush_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/rouge-cream-blush/NYX_010.html?cgid=blush,https://www.nyxcosmetics.com,More delicious than peaches and cream? We like to think so. Our velvety smooth mineral Rouge Cream Blush offers a sheer wash of radiant color. The glorious payoff is dewy sultry and long-lasting.,,,blush,[],2017-12-24T02:28:39.285Z,2017-12-24T02:30:35.745Z,http://makeup-api.herokuapp.com/api/v1/products/920.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/920/original/open-uri20171224-4-11ndp61?1514082635,"[{'hex_value': '#E4878F', 'colour_name': 'Boho Chic'}, {'hex_value': '#F08E8B', 'colour_name': 'Natural'}, {'hex_value': '#D27772', 'colour_name': 'Rose Petal'}, {'hex_value': '#D36A6F', 'colour_name': 'Glow'}, {'hex_value': '#FF3986', 'colour_name': 'Hot Pink'}, {'hex_value': '#FF1850', 'colour_name': 'Red Cheeks'}, {'hex_value': '#EB6B50', 'colour_name': 'Orange'}, {'hex_value': '#EC6E71', 'colour_name': 'Tickled'}, {'hex_value': '#CA7769', 'colour_name': 'Tea Rose'}]"
8,918,nyx,Baked Blush,7.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwfdfb0cd6/ProductImages/Face/Baked_Blush/800897824181_bakedblush_fullonfemme_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/baked-blush/NYX_128.html?cgid=blush,https://www.nyxcosmetics.com,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.,,,blush,[],2017-12-24T02:28:34.896Z,2017-12-24T02:30:31.495Z,http://makeup-api.herokuapp.com/api/v1/products/918.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/918/original/open-uri20171224-4-1g2payx?1514082631,"[{'hex_value': '#F9D1D1', 'colour_name': 'Full-On Femme'}, {'hex_value': '#FAD1CD', 'colour_name': 'Ladylike'}, {'hex_value': '#F4D5D2', 'colour_name': 'Journey'}, {'hex_value': '#FAD1CF', 'colour_name': 'Spanish Rose'}, {'hex_value': '#F4C6B9', 'colour_name': 'Foreplay'}, {'hex_value': '#F2BDC7', 'colour_name': 'Pink Fetish'}, {'hex_value': '#F8B7BD', 'colour_name': 'Statement Red'}, {'hex_value': '#E2C2B7', 'colour_name': 'Chiffon'}, {'hex_value': '#F0CBC3', 'colour_name': 'Wanderlust'}, {'hex_value': '#F9D9C4', 'colour_name': 'Sugar Mama'}, {'hex_value': '#E8C7B6', 'colour_name': 'Solstice'}, {'hex_value': '#E5C0A6', 'colour_name': 'Ignite'}]"
9,916,nyx,High Definition Blush,6.5,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,https://www.nyxcosmetics.com,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,,,blush,[],2017-12-24T02:28:30.659Z,2017-12-24T02:30:23.527Z,http://makeup-api.herokuapp.com/api/v1/products/916.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,"[{'hex_value': '#FACFD0', 'colour_name': 'Pastel Chic'}, {'hex_value': '#F4A38D', 'colour_name': 'Soft Spoken'}, {'hex_value': '#F38D9B', 'colour_name': 'Baby Doll'}, {'hex_value': '#F5948E', 'colour_name': 'Hamptons'}, {'hex_value': '#E58581', 'colour_name': 'Intuition'}, {'hex_value': '#F34395', 'colour_name': 'Electro'}, {'hex_value': '#F58F83', 'colour_name': 'Amber'}, {'hex_value': '#D6826B', 'colour_name': 'Bronzed'}, {'hex_value': '#E68B84', 'colour_name': ""Mauve N' Out""}, {'hex_value': '#CB7A79', 'colour_name': 'Deep Plum'}, {'hex_value': '#DC7675', 'colour_name': 'Bitten'}, {'hex_value': '#EA3034', 'colour_name': 'Crimson'}, {'hex_value': '#E34A57', 'colour_name': 'Tuscan'}, {'hex_value': '#EB6C63', 'colour_name': 'Summer'}, {'hex_value': '#FA694B', 'colour_name': 'Double Dare'}, {'hex_value': '#F49178', 'colour_name': 'Coraline'}, {'hex_value': '#F99282', 'colour_name': 'Pink The Town'}, {'hex_value': '#E28F81', 'colour_name': 'Rose Gold'}, {'hex_value': '#F49877', 'colour_name': 'Down To Earth'}, {'hex_value': '#F08F75', 'colour_name': 'Bright Lights'}, {'hex_value': '#D5967B', 'colour_name': ""Nude'Tude""}, {'hex_value': '#CC8774', 'colour_name': 'Glow'}, {'hex_value': '#CB896E', 'colour_name': 'Beach Babe'}, {'hex_value': '#BC9178', 'colour_name': 'Taupe'}]"
